gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,3,19.85,139
0,0,1,1,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2146
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.95,4780
1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,44.8,1284
1,0,1,1,6,1,0,1,0,2,0,0,0,2,0,1,1,83.55,4037
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,3498
0,0,0,0,5,1,0,1,0,2,0,0,2,2,0,1,2,96.25,4310
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,44.6,405
0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,72.75,2754
0,0,0,0,4,1,2,2,1,1,1,1,1,1,2,1,1,25.3,301
0,0,1,0,2,1,0,1,0,2,2,0,0,0,0,0,0,79.7,1125
1,0,1,1,40,1,2,1,2,2,0,2,2,2,0,1,1,110.1,3792
1,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,1,95.1,6252
1,1,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.5,1715
0,1,0,0,72,1,2,1,2,2,2,2,0,2,2,1,0,107.4,5889
0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,99.3,2079
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,4355
0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.35,1111
1,0,0,0,4,0,1,0,0,0,0,2,0,2,0,1,2,40.05,1086
1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,90.85,2770
0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,2,75.25,6291
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,5447
1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,79.9,2878
0,1,1,0,16,1,2,1,0,0,0,0,0,2,0,1,1,85.35,677
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,2041
0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,3,19.95,5808
1,1,1,1,24,1,2,1,2,0,0,0,0,0,0,1,2,79.85,1423
1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,59.7,1379
1,0,0,1,8,1,0,2,1,1,1,1,1,1,0,0,0,19.45,1043
0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,107.55,3860
0,0,1,0,57,1,0,0,2,2,0,2,2,0,2,1,1,70.35,3518
0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,20.85,2362
1,0,0,0,40,1,0,1,0,2,0,2,0,2,1,1,1,89.6,3023
1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.65,3704
0,0,1,1,72,1,2,0,2,2,2,0,2,2,2,1,1,83.6,4883
0,0,0,0,55,1,2,1,2,0,2,0,0,0,1,1,1,84.25,3897
1,0,1,0,48,1,2,1,2,2,2,0,2,2,0,1,0,111.45,4445
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.95,5725
0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,97.35,2991
1,0,0,0,11,1,0,0,0,0,2,0,2,2,0,1,2,69.35,5586
0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,84.6,6175
0,0,1,0,53,1,2,1,0,2,0,0,2,2,0,1,1,98.4,4327
1,0,1,0,70,0,1,0,0,2,2,2,0,2,1,1,0,51.05,3141
1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,344
1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,94.7,1517
0,0,1,1,55,1,0,1,0,0,0,0,0,0,2,1,1,69.05,3288
0,1,0,0,28,1,2,0,0,2,2,2,0,0,0,0,0,64.45,1438
0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,1,3,19.85,297
1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,1,1,19.7,3302
0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,95.15,1322
1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,1770
0,0,0,0,13,1,2,1,0,2,2,2,0,0,0,0,2,89.4,259
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,1610
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.65,5514
0,1,0,0,18,1,0,1,0,2,0,0,0,0,0,1,2,73.55,651
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,2225
0,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,20.3,2699
1,0,1,0,70,1,0,0,2,2,2,2,0,0,2,0,1,64.95,3850
1,1,1,0,44,1,0,2,1,1,1,1,1,1,2,1,1,19.35,6197
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043
1,0,1,0,65,1,2,0,2,0,2,2,0,2,2,0,0,76.15,4179
0,1,0,0,71,1,2,1,2,2,0,2,2,0,1,1,1,99.65,5617
0,0,1,1,64,1,2,0,0,2,0,0,0,0,1,1,0,53.85,2941
0,0,1,0,28,1,0,1,2,0,0,0,2,2,0,1,3,92.35,2252
0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.4,1033
0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,0,114.2,5882
0,0,1,1,39,1,0,1,0,0,2,2,0,0,0,1,0,81.5,2703
1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,45.0,6256
0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,104.95,5059
1,0,1,0,51,1,2,1,0,2,0,0,0,2,1,1,1,90.35,3916
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009
1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,105.0,5596
0,0,1,1,58,0,1,0,0,0,2,2,2,2,2,1,1,55.5,2749
0,0,1,1,69,1,0,0,0,2,2,2,0,0,1,0,0,59.1,3527
0,0,0,0,27,1,0,0,0,2,0,2,0,0,0,1,3,56.15,807
0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,48.6,4052
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.0,173
0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,25.05,1470
1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,4638
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141
1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,20.4,1362
1,0,0,0,12,1,2,0,2,2,0,2,0,0,0,1,2,67.25,6147
0,0,1,0,25,1,0,0,2,2,0,2,0,2,0,1,3,71.05,1391
0,0,1,1,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,1859
0,0,0,0,49,1,0,1,0,0,2,2,2,2,2,0,1,100.65,4168
1,1,1,0,57,0,1,0,0,0,0,0,2,2,0,1,2,44.85,2230
1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,20.55,1399
0,0,1,1,37,1,2,1,0,0,0,0,2,2,0,1,2,95.25,2879
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,3505
1,0,0,0,54,0,1,0,2,0,0,2,2,0,2,0,1,45.2,2114
1,0,1,0,12,1,0,1,0,2,0,0,0,2,0,1,1,85.05,6529
1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,3,55.3,2018
1,0,1,1,66,1,0,1,2,2,2,0,2,2,1,1,0,103.15,5535
1,0,1,1,70,0,1,0,2,0,2,2,2,2,2,0,0,59.5,3538
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,74.9,5724
1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,4925
1,1,0,0,47,1,2,1,0,0,0,0,2,0,0,1,1,86.05,3306
0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,2524
0,0,1,1,57,1,0,0,2,0,2,2,0,0,1,1,3,59.3,2850
0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,94.0,917
0,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,2,89.55,1893
0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,19.35,3684
1,1,1,0,61,1,2,1,0,2,2,2,2,0,1,1,3,98.3,4957
0,0,1,0,16,0,1,0,0,0,0,2,2,2,0,1,2,49.95,6061
0,0,1,0,72,1,2,1,0,2,0,0,2,2,2,1,1,97.7,5419
0,1,0,0,14,0,1,0,2,0,2,2,0,0,2,0,3,39.7,5463
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,6019
1,0,1,1,64,1,2,1,2,2,2,0,0,0,0,1,2,91.8,4884
1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,19.8,4753
1,0,1,0,64,1,2,1,2,2,2,0,0,0,1,0,0,89.45,4700
1,0,0,0,61,1,2,1,2,0,2,2,2,2,2,1,1,111.6,5424
0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,3560
0,0,0,0,47,1,2,1,2,0,2,0,2,0,1,0,1,94.9,3917
1,0,0,0,51,1,2,0,2,0,0,2,0,0,1,0,1,59.9,2643
0,0,0,0,37,1,2,1,2,2,2,0,0,0,0,0,0,91.2,2935
0,1,1,0,64,1,0,1,2,2,2,0,0,2,1,0,0,97.0,5175
1,0,1,0,60,0,1,0,0,2,2,2,2,2,0,1,0,60.2,3105
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1607
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,76.0,5820
0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,851
1,0,0,0,63,1,2,1,2,2,2,2,2,0,1,0,1,104.5,5262
0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,26.25,1593
1,0,0,1,29,1,2,1,0,2,2,2,0,2,1,0,1,100.55,2446
0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,3,61.5,170
1,1,0,0,38,1,0,0,0,2,2,2,2,0,1,1,1,70.15,2144
1,1,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,19.3,4271
1,1,1,0,70,1,2,1,0,2,2,0,2,2,1,1,2,104.8,5673
0,0,0,0,7,1,0,1,0,0,0,0,0,2,0,1,2,79.3,4382
0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,20.85,3828
0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,54.75,486
1,0,0,0,33,0,1,0,0,2,0,0,2,0,1,1,2,39.1,566
1,1,1,0,27,1,2,1,0,2,2,0,0,2,0,1,2,95.55,2169
1,0,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,74.9,204
0,0,0,0,41,1,2,2,1,1,1,1,1,1,1,1,3,24.85,6471
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122
1,1,1,0,44,1,2,1,0,0,2,0,2,0,0,1,2,89.2,3456
1,0,1,1,66,1,0,2,1,1,1,1,1,1,2,1,3,19.75,626
1,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,1,20.85,3950
1,0,1,0,17,1,2,1,2,2,2,0,0,0,0,0,1,90.2,840
1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,1,2,74.9,4149
0,1,1,0,21,1,2,0,0,2,2,0,0,2,1,0,0,71.7,895
1,0,1,0,61,1,2,1,0,2,0,2,2,0,2,1,2,94.1,4667
0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,2,50.7,1760
1,0,1,1,58,1,0,0,0,2,0,2,2,2,1,1,1,75.2,3663
0,0,1,1,21,0,1,0,2,0,2,0,2,2,1,1,2,55.95,296
1,0,0,1,60,1,0,2,1,1,1,1,1,1,2,0,3,19.95,351
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348
1,1,1,0,36,1,2,1,0,0,0,0,0,2,0,1,1,85.25,2725
0,1,0,0,57,0,1,0,0,2,2,0,2,2,0,1,2,55.0,2691
1,0,0,0,24,1,0,0,2,0,0,2,0,0,0,0,2,54.95,635
1,0,1,1,68,1,0,1,2,2,2,0,2,2,2,1,0,105.25,5613
1,0,1,0,72,1,0,1,0,0,2,0,2,2,0,1,2,94.65,5346
1,0,0,0,9,0,1,0,2,2,2,0,0,0,1,0,3,39.55,3212
1,0,0,1,66,1,0,0,0,2,2,2,2,2,2,1,1,79.5,4351
0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,73.5,5108
0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,4331
0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,1,3,75.75,5898
1,0,1,0,54,0,1,0,0,2,0,0,0,0,0,0,2,30.4,1092
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.65,5971
1,0,1,0,71,1,2,1,2,0,2,2,2,2,2,1,1,108.55,5834
1,0,1,1,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,3297
1,0,0,0,33,1,2,0,0,2,0,0,0,0,0,1,0,54.65,1150
1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,86.65,6231
0,0,1,0,72,0,1,0,2,2,2,0,0,2,2,1,2,49.2,3102
0,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.85,1623
0,0,0,0,67,1,2,2,1,1,1,1,1,1,2,1,0,25.6,1329
0,0,1,0,22,1,0,1,0,0,0,0,2,0,0,1,1,80.0,1204
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,4997
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,6180
0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,5782
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,5590
0,0,0,0,58,1,2,1,2,0,0,0,0,0,0,1,0,79.8,3853
0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1411
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278
0,0,1,0,41,1,0,1,0,2,2,2,0,0,1,1,0,86.2,2895
0,0,1,1,0,0,1,0,2,2,2,2,2,0,2,0,1,56.05,0
1,0,1,0,61,0,1,0,2,0,2,2,2,2,2,1,3,62.15,3245
0,0,1,1,46,1,2,1,2,0,2,2,0,2,2,0,3,99.65,3929
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230
1,0,0,0,7,1,0,1,0,2,0,0,2,2,0,1,2,94.25,5309
1,0,0,0,21,1,2,1,0,0,0,0,0,0,0,1,2,73.7,999
0,1,0,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.05,530
0,0,1,1,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1406
0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,1,1,69.05,1369
1,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,3,42.4,847
0,0,0,1,63,1,0,2,1,1,1,1,1,1,2,0,1,19.5,391
1,1,1,0,5,1,2,1,0,0,2,0,0,0,0,1,0,79.9,2971
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,1,19.7,528
0,0,1,0,55,1,2,1,0,2,2,0,2,0,0,1,1,94.45,4293
1,0,1,1,51,1,0,0,2,0,0,2,2,2,1,1,0,76.4,3390
0,0,1,1,56,1,2,0,2,0,2,0,0,2,1,1,0,68.75,3264
1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,3425
1,0,1,0,72,1,2,1,2,2,2,2,0,2,2,0,0,105.6,5816
0,0,1,1,19,1,0,0,0,0,2,0,0,0,0,1,0,49.6,6472
1,1,0,0,22,1,2,1,0,0,0,0,2,2,0,1,2,96.7,1711
0,0,1,0,41,0,1,0,0,2,0,2,0,0,1,0,3,35.45,716
1,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,19.45,6240
0,0,0,0,57,1,0,0,2,2,2,2,2,0,2,1,1,74.3,3561
1,1,0,0,29,1,0,1,0,2,2,0,2,2,0,1,0,101.45,2546
0,0,1,1,33,1,0,1,0,0,2,0,2,2,1,1,2,93.8,2715
0,0,1,0,72,1,2,1,0,0,2,0,2,2,2,1,2,97.85,5403
1,0,1,0,31,1,2,1,0,0,2,0,2,0,0,0,1,88.65,2334
1,1,1,0,52,1,0,1,2,0,2,2,2,2,1,1,0,104.45,4549
1,0,1,1,35,1,0,2,1,1,1,1,1,1,1,0,0,20.05,5754
0,0,1,1,7,1,0,2,1,1,1,1,1,1,2,0,3,19.85,809
0,0,1,0,22,1,0,0,0,2,2,0,0,0,0,1,3,54.7,333
1,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,74.9,3971
0,0,1,0,60,0,1,0,2,2,0,2,0,0,2,0,0,37.7,1927
1,0,1,1,24,1,0,2,1,1,1,1,1,1,1,0,3,20.25,3727
0,1,0,0,31,1,0,1,2,0,0,0,0,0,0,1,1,73.55,1724
1,0,0,0,26,1,0,1,0,2,0,0,2,0,0,1,2,85.75,1764
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,5454
1,0,1,1,40,1,0,2,1,1,1,1,1,1,2,0,3,19.6,6050
1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,1,20.05,1793
0,0,1,1,70,1,0,2,1,1,1,1,1,1,2,1,3,19.2,737
1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,3,55.15,1042
1,1,0,0,46,1,0,1,2,0,0,0,0,2,0,0,2,85.0,3392
1,0,1,0,59,1,2,1,2,2,2,0,2,2,1,1,2,110.15,5184
0,1,1,0,48,1,0,1,0,0,0,0,0,0,0,1,0,70.65,3070
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,196
0,0,0,0,29,0,1,0,0,2,0,0,0,0,0,1,2,30.6,6229
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,1112
0,0,1,1,9,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1732
0,0,0,0,8,1,0,0,2,2,0,2,0,0,1,0,0,58.2,3969
0,0,0,0,28,1,2,1,0,2,0,0,0,2,0,1,2,89.95,2273
0,0,1,1,20,1,2,0,2,0,0,0,2,2,1,0,0,76.0,1041
0,1,0,0,56,1,2,1,0,2,2,0,2,2,1,1,0,104.75,4578
0,0,1,0,49,0,1,0,2,0,0,0,2,0,0,0,0,40.65,1697
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,3868
